id,word,meaning,day,week_start,date_sent
1,overt,done or shown openly; not secret or hidden.,monday,2026-01-05,2026-01-05
2,congenial,pleasant because of having qualities or interests similar to one's own; friendly and agreeable.,monday,2026-01-05,2026-01-05
3,duplicity,deceitfulness; acting in two different ways to different people about the same matter.,monday,2026-01-05,2026-01-05
4,aristocracy,"the highest social class in certain societies, often holding hereditary titles or offices.",monday,2026-01-05,2026-01-05
5,courtiers,"attendants or advisers at a royal court, especially those who flatter to gain favor.",monday,2026-01-05,2026-01-05
6,refine,to remove impurities or unwanted elements from a substance; to improve by making small changes.,monday,2026-01-05,2026-01-05
7,dilemma,a situation in which a difficult choice has to be made between two or more alternatives.,monday,2026-01-05,2026-01-05
8,paragon,a person or thing regarded as a perfect example of a particular quality.,monday,2026-01-05,2026-01-05
9,invariably,always; in every case or on every occasion.,monday,2026-01-05,2026-01-05
10,elegance,"the quality of being graceful, stylish, and attractive in appearance or manner.",monday,2026-01-05,2026-01-05
11,coercion,the practice of persuading someone to do something by using force or threats.,tuesday,2026-01-05,2026-01-06
12,outright,completely and immediately; without reservation or concealment.,tuesday,2026-01-05,2026-01-06
13,treachery,betrayal of trust; deceptive action or nature.,tuesday,2026-01-05,2026-01-06
14,vigilance,the action or state of keeping careful watch for possible danger or difficulties.,tuesday,2026-01-05,2026-01-06
15,tactical,relating to or constituting actions carefully planned to gain a specific end.,tuesday,2026-01-05,2026-01-06
16,tact,skill and sensitivity in dealing with others or with difficult issues without causing offense.,tuesday,2026-01-05,2026-01-06
17,paradox,a statement or situation that seems self-contradictory or absurd but may be true.,tuesday,2026-01-05,2026-01-06
18,peculiar,strange or odd; unusual.,tuesday,2026-01-05,2026-01-06
19,pinnacle,the most successful point; the highest level or degree attainable.,tuesday,2026-01-05,2026-01-06
20,cauldron,"a large metal pot used for cooking over an open fire; also, a situation characterized by instability or strong emotions.",tuesday,2026-01-05,2026-01-06
21,simmer,"to stay just below the boiling point while being heated; also, to be filled with suppressed anger or excitement.",wednesday,2026-01-05,2026-01-07
22,nicety,"a fine or subtle detail, especially one that is part of polite social behavior.",wednesday,2026-01-05,2026-01-07
23,prudent,acting with or showing care and thought for the future; wise and cautious.,wednesday,2026-01-05,2026-01-07
24,indirection,the act of expressing something in a roundabout or indirect way.,wednesday,2026-01-05,2026-01-07
25,conceive,to form or devise (a plan or idea) in the mind; to imagine.,wednesday,2026-01-05,2026-01-07
26,interpose,to place or insert between one thing and another; to intervene.,wednesday,2026-01-05,2026-01-07
27,notion,"a belief, idea, or opinion.",wednesday,2026-01-05,2026-01-07
28,relic,"an object surviving from an earlier time, especially one of historical or sentimental interest.",wednesday,2026-01-05,2026-01-07
29,asocial,not enjoying or seeking the company of others; avoiding social interaction.,wednesday,2026-01-05,2026-01-07
30,adept,very skilled or proficient at something.,wednesday,2026-01-05,2026-01-07
31,taint,to contaminate or pollute something; to affect with a bad or undesirable quality.,thursday,2026-01-05,2026-01-08
32,virtue,behavior showing high moral standards; a good or desirable quality.,thursday,2026-01-05,2026-01-08
33,resent,"to feel bitter or angry about something, especially because you think it is unfair.",thursday,2026-01-05,2026-01-08
34,bungler,a person who does something clumsily or incompetently; a blunderer.,thursday,2026-01-05,2026-01-08
35,invariably,always; without exception.,thursday,2026-01-05,2026-01-08
36,feign,"to pretend to have a particular feeling, condition, or injury.",thursday,2026-01-05,2026-01-08
37,resolve,to find a solution to a problem or difficulty; to decide firmly on a course of action.,thursday,2026-01-05,2026-01-08
38,ripple,a small wave or series of waves; a feeling or effect that spreads through a group or situation.,thursday,2026-01-05,2026-01-08
39,curb,to restrain or keep in check; to control or limit something.,thursday,2026-01-05,2026-01-08
40,espouse,"to adopt or support a cause, belief, or way of life.",thursday,2026-01-05,2026-01-08
41,potent,"having great power, influence, or effect.",friday,2026-01-05,2026-01-09
42,malleable,easily influenced or changed; able to be shaped or bent.,friday,2026-01-05,2026-01-09
43,aesthetics,"the study of beauty, art, and taste; the appreciation of what is beautiful.",friday,2026-01-05,2026-01-09
44,impediment,a hindrance or obstruction in doing something; something that makes progress difficult.,friday,2026-01-05,2026-01-09
45,amoral,lacking a moral sense; not concerned with right or wrong.,friday,2026-01-05,2026-01-09
46,consume,"to use up, eat, or drink; to completely destroy or absorb.",friday,2026-01-05,2026-01-09
47,disparate,essentially different in kind; not allowing comparison.,friday,2026-01-05,2026-01-09
48,renaissance,"a revival or renewed interest in something; originally, the period of great cultural change in Europe from the 14th to 17th centuries.",friday,2026-01-05,2026-01-09
49,distillation,"the process of purifying a liquid by heating and cooling; also, the extraction of the essential meaning or most important aspects of something.",friday,2026-01-05,2026-01-09
50,premise,a statement or idea that is accepted as true and that forms the basis for a theory or argument.,friday,2026-01-05,2026-01-09
51,definitive,(of a conclusion or agreement) done or reached decisively and with authority; the most complete or reliable.,monday,2026-01-12,2026-01-12
52,pertain,to relate to or have a connection with something.,monday,2026-01-12,2026-01-12
53,pertinent,relevant or applicable to a particular matter; appropriate.,monday,2026-01-12,2026-01-12
54,foible,a minor weakness or eccentricity in someone's character.,monday,2026-01-12,2026-01-12
55,frivolous,not having any serious purpose or value; carefree and not serious.,monday,2026-01-12,2026-01-12
56,abolish,"to formally put an end to (a system, practice, or institution).",monday,2026-01-12,2026-01-12
57,inadvertently,without intention; accidentally.,monday,2026-01-12,2026-01-12
58,precarious,not securely held or in position; dangerously likely to fall or collapse; uncertain.,monday,2026-01-12,2026-01-12
59,vagaries,unexpected and inexplicable changes in a situation or in someone's behavior.,monday,2026-01-12,2026-01-12
60,vaunt,"to boast about or praise something, especially excessively.",monday,2026-01-12,2026-01-12
61,notoriously,"famous or well known, typically for some bad quality or deed.",tuesday,2026-01-12,2026-01-13
62,vanity,excessive pride in or admiration of one's own appearance or achievements.,tuesday,2026-01-12,2026-01-13
63,rancor,"bitterness or resentfulness, especially when long-standing.",tuesday,2026-01-12,2026-01-13
64,ascribe,"to attribute something to a cause, person, or source.",tuesday,2026-01-12,2026-01-13
65,surly,bad-tempered and unfriendly.,tuesday,2026-01-12,2026-01-13
66,wit,the ability to use words and ideas in a quick and inventive way to create humor; a person skilled at making clever and amusing remarks.,tuesday,2026-01-12,2026-01-13
67,obscure,not discovered or known about; uncertain; to keep from being seen; to conceal.,tuesday,2026-01-12,2026-01-13
68,odious,extremely unpleasant; repulsive; deserving of hatred.,tuesday,2026-01-12,2026-01-13
69,scruple,a feeling of doubt or hesitation with regard to the morality or propriety of a course of action.,tuesday,2026-01-12,2026-01-13
70,spiteful,"showing or caused by malice; wanting to hurt, annoy, or offend someone.",tuesday,2026-01-12,2026-01-13
71,tyrannical,exercising power in a cruel or arbitrary way.,wednesday,2026-01-12,2026-01-14
72,nunnery,a convent; a building or community where nuns live.,wednesday,2026-01-12,2026-01-14
73,intrigue,to arouse the curiosity or interest of; to make secret plans to do something illicit or harmful.,wednesday,2026-01-12,2026-01-14
74,profligate,recklessly extravagant or wasteful in the use of resources; shamelessly immoral.,wednesday,2026-01-12,2026-01-14
75,beguile,"to charm or enchant someone, sometimes in a deceptive way.",wednesday,2026-01-12,2026-01-14
76,connive,to secretly allow or be involved in wrongdoing; to conspire.,wednesday,2026-01-12,2026-01-14
77,peril,serious and immediate danger.,wednesday,2026-01-12,2026-01-14
78,bestow,to give something as an honor or present.,wednesday,2026-01-12,2026-01-14
79,avaricious,having or showing an extreme greed for wealth or material gain.,wednesday,2026-01-12,2026-01-14
80,perk,a benefit or advantage that comes with a job or situation.,wednesday,2026-01-12,2026-01-14
81,impudence,the quality of being rude and showing a lack of respect.,thursday,2026-01-12,2026-01-15
82,encumbered,restricted or burdened in such a way that free action or movement is difficult.,thursday,2026-01-12,2026-01-15
83,foment,to instigate or stir up (an undesirable or violent sentiment or course of action).,thursday,2026-01-12,2026-01-15
84,astute,having or showing an ability to accurately assess situations or people and turn this to one's advantage; shrewd.,thursday,2026-01-12,2026-01-15
85,enmity,the state or feeling of being actively opposed or hostile to someone or something.,thursday,2026-01-12,2026-01-15
